tenure_months,monthly_spend,support_calls,promo_eligible,debt_ratio,age,is_international,churn
32.0,68.2317994707044,8.0,,0.2906722113880901,21.0,1.0,1
71.0,90.9029682149957,0.0,0.0,0.16535112281437228,52.0,1.0,0
71.0,61.131705103014674,6.0,1.0,0.3531658244547724,55.0,1.0,0
27.0,129.99227497891832,2.0,,0.34700162463620854,65.0,0.0,0
68.0,109.18125346345961,1.0,1.0,0.1685047200053848,46.0,1.0,0
59.0,,6.0,1.0,0.34159063550708846,57.0,1.0,0
46.0,145.04877102329317,11.0,0.0,0.3639063240689413,35.0,1.0,1
60.0,105.98909901960917,6.0,1.0,0.3301797401440989,65.0,1.0,1
55.0,17.064802295198234,6.0,0.0,0.052499695716267426,18.0,0.0,0
70.0,101.88418518398464,5.0,1.0,0.25516394529860065,46.0,1.0,0
27.0,68.92128929105127,11.0,0.0,0.5195532823718441,65.0,0.0,1
5.0,111.50773719760467,4.0,1.0,0.11595927799908984,30.0,0.0,0
32.0,32.90369554568032,6.0,1.0,0.4746578501261982,24.0,1.0,0
22.0,102.9791645283384,,0.0,0.26895774614264073,22.0,0.0,0
35.0,50.0542246842606,8.0,1.0,0.3802368675471217,21.0,1.0,0
66.0,103.27081001821892,7.0,1.0,0.3112375217119536,56.0,1.0,0
69.0,102.49372727798361,2.0,1.0,0.10688126358937661,,0.0,0
48.0,123.79343626443685,8.0,0.0,0.37904143932559536,66.0,0.0,1
45.0,90.03384120312558,0.0,1.0,0.7284363837151172,35.0,1.0,0
20.0,121.2695115677339,0.0,,0.30143763301366944,79.0,1.0,0
1.0,146.19598143408047,4.0,,0.3885314249927956,38.0,1.0,0
28.0,94.9435900864578,3.0,0.0,0.47047072193087264,25.0,0.0,0
32.0,107.53422053377858,9.0,0.0,0.22868463863160432,69.0,1.0,1
16.0,81.25832407556948,9.0,0.0,0.1251713972621311,28.0,0.0,1
57.0,93.59573973144352,10.0,1.0,0.36161942253338986,49.0,0.0,0
12.0,101.70254912459363,1.0,1.0,0.1667727894064825,62.0,1.0,0
34.0,49.919951268030104,10.0,1.0,0.33974418163199366,27.0,0.0,0
11.0,74.77675613791742,6.0,0.0,0.21965568691240367,36.0,1.0,1
25.0,100.67774784787835,11.0,1.0,0.5297468436762003,36.0,1.0,1
70.0,80.91308602307313,9.0,0.0,0.6585816110105671,58.0,1.0,1
48.0,104.17700634902953,10.0,0.0,0.26088674110449317,56.0,0.0,1
30.0,110.44768555243934,9.0,1.0,0.5456428461281712,37.0,0.0,0
15.0,51.277091338826146,11.0,1.0,0.34696631324958305,65.0,0.0,0
4.0,83.76828269729431,5.0,1.0,0.1520125849685667,45.0,0.0,0
63.0,104.81678687329489,3.0,0.0,0.3874475314889041,74.0,1.0,0
35.0,132.33046267300466,9.0,1.0,0.4624936450702503,51.0,1.0,1
44.0,85.87527180652688,8.0,1.0,0.4323330257474716,,0.0,1
20.0,83.98340621198155,0.0,1.0,0.15483899053388156,39.0,0.0,0
4.0,113.49205017077172,3.0,1.0,0.28244753263556777,29.0,0.0,0
15.0,33.97551009204202,7.0,0.0,0.41483587247443626,79.0,1.0,1
9.0,76.55409643503009,1.0,1.0,0.62887054472263,61.0,,1
14.0,49.24474976599242,4.0,1.0,0.40972113032864066,35.0,1.0,0
10.0,107.15652197828199,3.0,1.0,0.041520982078040225,68.0,0.0,0
41.0,108.05832848334974,10.0,1.0,0.07844326832320989,31.0,1.0,1
8.0,100.34537249770904,4.0,0.0,0.08392505552395157,37.0,1.0,0
42.0,121.58119201910694,5.0,0.0,0.16298689603343933,39.0,1.0,1
41.0,,4.0,1.0,0.3456755587664651,47.0,1.0,0
63.0,37.22227354545555,2.0,1.0,0.4058938418719701,65.0,0.0,0
34.0,99.9280911752935,9.0,0.0,0.088398604431305,35.0,1.0,1
7.0,88.06397261831042,3.0,1.0,0.19326366932637967,67.0,0.0,1
23.0,108.03212868778738,1.0,0.0,0.0920445879864183,65.0,1.0,0
35.0,,1.0,1.0,0.1972838890240653,80.0,0.0,0
21.0,72.49936713595162,6.0,1.0,0.28486587875238545,56.0,1.0,1
20.0,83.82373725647012,0.0,0.0,0.18150669400150068,34.0,1.0,0
18.0,91.39987268393847,7.0,1.0,0.42361594142783926,62.0,1.0,0
34.0,126.30492827523227,2.0,,0.17974841916478332,56.0,0.0,0
64.0,81.52130667426133,2.0,0.0,0.20782698310670675,79.0,0.0,0
68.0,95.38923411811193,11.0,0.0,0.4763547637086151,36.0,0.0,1
51.0,64.51868743779882,0.0,0.0,0.35222299125064505,63.0,0.0,0
66.0,48.62922826535191,1.0,0.0,0.1512073779392879,41.0,0.0,0
71.0,127.63177850776205,7.0,,0.13331018734152594,71.0,0.0,0
54.0,99.99679211897849,,1.0,0.33312917900713584,58.0,1.0,0
62.0,23.109589066903695,,1.0,0.17370952411012272,28.0,1.0,0
56.0,120.59716212231083,7.0,1.0,0.15879072743658293,55.0,0.0,1
33.0,72.45146871126049,6.0,1.0,0.11858393512226023,23.0,1.0,0
20.0,70.15021782983396,10.0,0.0,0.1192297263056124,46.0,1.0,1
67.0,73.68891837993931,1.0,0.0,0.18138507891258876,49.0,0.0,0
37.0,59.148796982178936,8.0,0.0,0.22191437983647885,51.0,,1
8.0,89.7973254005162,11.0,1.0,0.054309546220522004,36.0,0.0,0
57.0,10.0,7.0,1.0,0.2528633486087352,52.0,1.0,1
